survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,name_th,name_en,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
3/30/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,B,B : สนามฟุตบอล,B031,98.352939,7.895425,91,8.5,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,28.95,155.19,54.36,9.02,218.56,59.01,277.58,133.43,489.25,0.49
3/30/2026,นางสาวญาณิศา ทองจีน,B,B : สนามฟุตบอล,B032,98.352681,7.895386,70.4,7.3,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,22.4,83.43,27.44,5.34,116.21,31.38,147.58,70.94,260.13,0.26
3/30/2026,นางสาวญาณิศา ทองจีน,B,B : สนามฟุตบอล,B033,98.35255,7.895515,200.2,7.4,บัวสวรรค์,Gustavia,Gustavia gracillima,กัสตาเวีย บัวฝรั่ง,ป่าดิบชื้น,63.7,593.5,238.11,21.44,853.05,230.32,1083.37,520.78,1909.51,1.91
3/30/2026,นางสาวญาณิศา ทองจีน,B,B : สนามฟุตบอล,B034,98.352316,7.895484,229,9.9,บัวสวรรค์,Gustavia,Gustavia gracillima,กัสตาเวีย บัวฝรั่ง,ป่าดิบชื้น,72.86,1000.41,423.14,26.56,1450.12,391.53,1841.65,885.28,3246.03,3.25
3/30/2026,นางสาวญาณิศา ทองจีน,B,B : สนามฟุตบอล,B035,98.35203,7.895445,47.8,6.2,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,15.21,34.8,10.48,2.37,47.64,12.86,60.5,29.08,106.64,0.11
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C001,98.35365262,7.894290498,436,18.4,จามจุรี,"Rain Tree , Monkey Pod",Samanea saman (Jacq.) Merr,ก้ามปู,ป่าเบญจพรรณ,138.73,5926.86,1743.49,34.9,7705.26,2080.42,9785.67,4795.96,17585.18,17.59
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C002,98.3537481,7.894377039,94.8,9.4,มะม่วง,Mango,Mangifera indica,มะม่วง,ป่าดิบชื้น,30.16,183.98,65.56,10.3,259.83,70.15,329.99,158.62,581.62,0.58
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C003,98.353847,7.894226301,84.6,14.6,ยางนา,"Yang-na, Resin tree",Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,26.92,224.33,81.56,11.93,317.82,85.81,403.63,194.02,711.42,0.71
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C004,98.35397193,7.894058673,148.5,23.3,ยางนา,"Yang-na, Resin tree",Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,47.25,990.8,418.66,26.48,1435.94,387.7,1823.64,876.62,3214.29,3.21
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C005,98.35384666,7.893946405,68.7,14.1,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,21.86,147.28,51.31,8.65,207.24,55.95,263.19,126.52,463.89,0.46
