survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,images_overall,images_leaves,images_flowers,images_fruits,name_th,name_en,species_id,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
2026-04-07,นาย ปรเมศวร์ นุ่มศึก,A,A : ลานจอดรถ,A032,98.35160000,7.89524000,284,14.5,https://drive.google.com/open?id=1EgBw05DZF5a3NF239Fzr-7COVv3zal_B,https://drive.google.com/open?id=1wMVNuu4uJfZG6essbDbjDcgiZINjV3O6,,,ตีนเป็ด,Devil Tree,SP012,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,90.36,2133.57,974.33,32.48,3140.37,847.90,3988.27,1917.16,7029.59,7.03
2026-04-07,นาย ปรเมศวร์ นุ่มศึก,A,A : ลานจอดรถ,A033,98.35170000,7.89545000,167,8.9,https://drive.google.com/open?id=1YsHu4YiULtiei7n3YOo9fdAWaZt2pV6q,https://drive.google.com/open?id=11YHUepAgBcNXhB5LCudbzv1WBBcOh6Xo,,,ประดู่,Burmese Padauk,SP005,Pterocarpus macrocarpus,ประดู่,ป่าเบญจพรรณ,53.14,502.69,115.19,14.22,632.10,170.67,802.77,393.44,1442.60,1.44
2026-04-07,นาย ปรเมศวร์ นุ่มศึก,A,A : ลานจอดรถ,A034,98.35160000,7.89552000,114.8,6.3,https://drive.google.com/open?id=1nFD0eiiyi_EPnQp1ZCIZp0cPTdT7UIzB,https://drive.google.com/open?id=1I1T6aGB0d_W4newi9vtZUCWcr9o_1SPo,,,ทุ้งฟ้า,Bush Clockvine,SP007,Thunbergia erecta (Benth.) T.Anderson,รางจืดฝรั่ง,ป่าดิบชื้น,36.53,181.03,64.40,10.17,255.60,69.01,324.62,156.04,572.16,0.57
2026-04-07,นาย ปรเมศวร์ นุ่มศึก,A,A : ลานจอดรถ,A035,98.35130000,7.89572000,170,5,https://drive.google.com/open?id=1Y3ipEP0ko79r08t1VS21j9VdN3EdbuTD,https://drive.google.com/open?id=11rk3H5ZyQ_nKW5m0vaDjms6uiaqwQJwE,,https://drive.google.com/open?id=1mZfLutVeodL1C_9TrEKwvLtz5fx5r3v1,ปาล์มน้ำมัน,Oil Palm,SP028,Elaeis guineensis,ปาล์ม,กลุ่มปาล์ม,54.09,0.00,0.00,0.00,52.82,21.66,74.48,30.76,112.79,0.11
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B001,98.35188750,7.89577908,159,13.8,https://drive.google.com/open?id=1F7Ky0rppxO1XFC3TOjX_7UBCS-NXhN5p,https://drive.google.com/open?id=1Xa_YOtUQPgZfGJssN2fP_9d9canELBVp,,,ยางนา,Resin Tree,SP042,Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,50.59,690.53,281.31,22.98,994.82,268.60,1263.42,607.33,2226.86,2.23
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B002,98.35168149,7.89596448,98,11.7,https://drive.google.com/open?id=1THjEafynSFLBeW6ALootsi7twschcTDd,https://drive.google.com/open?id=10WShJRvNL7R2HJiRyWkdFffLJT41wmLU,,,ประดู่,Burmese Padauk,SP005,Pterocarpus macrocarpus,ประดู่,ป่าเบญจพรรณ,31.18,240.05,51.04,8.25,299.35,80.82,380.18,186.32,683.19,0.68
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B003,98.35195403,7.89616466,59,8.2,https://drive.google.com/open?id=1gHB6xJSwbWqTnYW-38jSLhWBv3PkgWGt,https://drive.google.com/open?id=17YaTQxhd57MCF1AOaRDKHyxZSPVGvMiP,https://drive.google.com/open?id=1pznhZIUTrpex4ukRelVeBmV1Sjd0Ggeq,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,18.77,66.88,21.51,4.37,92.77,25.05,117.81,56.63,207.65,0.21
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B004,98.35185000,7.89575419,87,6.1,https://drive.google.com/open?id=18mRG7xRWwlbecq26dvP2AHiih97h-ePB,https://drive.google.com/open?id=1ujpwhip1Fydt3F1JNKiU7WxXpdnf5o20,,,แคป่า,Dolichandrone,SP013,Dolichandrone serrulata,แคป่า,ป่าเบญจพรรณ,27.68,104.73,20.48,4.02,129.23,34.89,164.12,80.44,294.93,0.29
2026-03-26,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B005,98.35188900,7.89573035,150,11.3,https://drive.google.com/open?id=19mwPX4FVwSlhiCJoHTXQHXsg5q6mABxc,https://drive.google.com/open?id=1wGaRIBz5zBLsz3DeA1fSCUeAZj17iu7i,,https://drive.google.com/open?id=1jwZJ38JVlZnKQGuM2bj9OJifPX8r3_u5,เสลา,Lagerstroemia,SP024,Lagerstroemia loudonii,เสลา,ป่าเบญจพรรณ,47.73,514.08,118.07,14.43,646.59,174.58,821.16,402.45,1475.66,1.48
2026-03-26,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B006,98.35214858,7.89542743,68,8.3,https://drive.google.com/open?id=1UDK0nUbyt8xtNt8TXECzWKUJxrIAk2gm,https://drive.google.com/open?id=1DaIWIdLxUKr7efjGmSLHs2ui1QN2y6Fa,,,พะยอม,Shorea,SP037,Shorea roxburghii,พะยอม,ป่าเบญจพรรณ,21.64,88.15,16.94,3.43,108.52,29.30,137.81,67.54,247.66,0.25
